2025-07-06 15:24:03,316 - Deleted: test_dir
2025-07-06 15:25:41,405 - Deleted: test_dir
2025-07-06 15:32:51,551 - Deleted: test_dir
2025-07-06 15:33:42,285 - Deleted: test_dir
2025-07-06 15:45:45,937 - Created: test_dir\file1.txt
2025-07-06 15:45:45,941 - Modified: test_dir\file1.txt
2025-07-06 15:45:45,942 - Created: test_dir\file2.txt
2025-07-06 15:45:45,944 - Modified: test_dir\file2.txt
2025-07-06 15:45:45,945 - Created: test_dir\file3.txt
2025-07-06 15:45:45,949 - Modified: test_dir\file3.txt
2025-07-06 15:45:45,952 - Created: test_dir\file4.txt
2025-07-06 15:45:45,953 - Modified: test_dir\file4.txt
2025-07-06 15:45:45,954 - Created: test_dir\file5.txt
2025-07-06 15:45:45,956 - Modified: test_dir\file5.txt
2025-07-06 15:45:45,957 - \u26a0\ufe0f SUSPICIOUS ACTIVITY DETECTED: Rapid file operations!
2025-07-06 15:45:45,960 - Created: test_dir\file6.txt
2025-07-06 15:45:45,960 - \u26a0\ufe0f SUSPICIOUS ACTIVITY DETECTED: Rapid file operations!
2025-07-06 15:45:45,961 - Modified: test_dir\file6.txt
2025-07-06 15:45:45,961 - \u26a0\ufe0f SUSPICIOUS ACTIVITY DETECTED: Rapid file operations!
2025-07-06 15:45:45,963 - Created: test_dir\file7.txt
2025-07-06 15:45:45,963 - \u26a0\ufe0f SUSPICIOUS ACTIVITY DETECTED: Rapid file operations!
2025-07-06 15:45:45,965 - Modified: test_dir\file7.txt
2025-07-06 15:45:45,965 - \u26a0\ufe0f SUSPICIOUS ACTIVITY DETECTED: Rapid file operations!
2025-07-06 15:45:45,966 - Created: test_dir\file8.txt
2025-07-06 15:45:45,966 - \u26a0\ufe0f SUSPICIOUS ACTIVITY DETECTED: Rapid file operations!
2025-07-06 15:45:45,967 - Modified: test_dir\file8.txt
2025-07-06 15:45:45,968 - \u26a0\ufe0f SUSPICIOUS ACTIVITY DETECTED: Rapid file operations!
2025-07-06 15:45:45,969 - Created: test_dir\file9.txt
2025-07-06 15:45:45,969 - \u26a0\ufe0f SUSPICIOUS ACTIVITY DETECTED: Rapid file operations!
2025-07-06 15:45:45,970 - Modified: test_dir\file9.txt
2025-07-06 15:45:45,970 - \u26a0\ufe0f SUSPICIOUS ACTIVITY DETECTED: Rapid file operations!
2025-07-06 15:45:45,971 - Created: test_dir\file10.txt
2025-07-06 15:45:45,972 - \u26a0\ufe0f SUSPICIOUS ACTIVITY DETECTED: Rapid file operations!
2025-07-06 15:45:45,973 - Modified: test_dir\file10.txt
2025-07-06 15:45:45,973 - \u26a0\ufe0f SUSPICIOUS ACTIVITY DETECTED: Rapid file operations!
2025-07-06 15:45:45,975 - Created: test_dir\file11.txt
2025-07-06 15:45:45,975 - \u26a0\ufe0f SUSPICIOUS ACTIVITY DETECTED: Rapid file operations!
2025-07-06 15:45:45,976 - Modified: test_dir\file11.txt
2025-07-06 15:45:45,976 - \u26a0\ufe0f SUSPICIOUS ACTIVITY DETECTED: Rapid file operations!
2025-07-06 15:45:45,978 - Created: test_dir\file12.txt
2025-07-06 15:45:45,978 - \u26a0\ufe0f SUSPICIOUS ACTIVITY DETECTED: Rapid file operations!
2025-07-06 15:45:45,980 - Modified: test_dir\file12.txt
2025-07-06 15:45:45,980 - \u26a0\ufe0f SUSPICIOUS ACTIVITY DETECTED: Rapid file operations!
2025-07-06 15:45:45,982 - Created: test_dir\file13.txt
